,MSA,msa name,cluster_number
81,18140,"Columbus, OH (Metropolitan Statistical Area)",3
82,18580,"Corpus Christi, TX (Metropolitan Statistical Area)",0
83,18700,"Corvallis, OR (Metropolitan Statistical Area)",0
84,18880,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",0
85,19060,"Cumberland, MD-WV (Metropolitan Statistical Area)",0
86,19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",1
87,19140,"Dalton, GA (Metropolitan Statistical Area)",0
88,19180,"Danville, IL (Metropolitan Statistical Area)",0
89,19300,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",0
90,19340,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",0
91,19430,"Dayton-Kettering, OH (Metropolitan Statistical Area)",0
92,19460,"Decatur, AL (Metropolitan Statistical Area)",0
93,19500,"Decatur, IL (Metropolitan Statistical Area)",0
94,19660,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",0
95,19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",3
96,19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",0
97,19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",3
98,20020,"Dothan, AL (Metropolitan Statistical Area)",0
99,20100,"Dover, DE (Metropolitan Statistical Area)",0
100,20220,"Dubuque, IA (Metropolitan Statistical Area)",0
101,20260,"Duluth, MN-WI (Metropolitan Statistical Area)",0
102,20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",0
103,20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",0
104,20740,"Eau Claire, WI (Metropolitan Statistical Area)",0
105,20940,"El Centro, CA (Metropolitan Statistical Area)",0
106,21060,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",0
107,21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",0
108,21300,"Elmira, NY (Metropolitan Statistical Area)",0
109,21340,"El Paso, TX (Metropolitan Statistical Area)",0
110,21420,"Enid, OK (Metropolitan Statistical Area)",0
111,21500,"Erie, PA (Metropolitan Statistical Area)",0
112,21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",0
113,21780,"Evansville, IN-KY (Metropolitan Statistical Area)",0
114,21820,"Fairbanks, AK (Metropolitan Statistical Area)",0
115,22020,"Fargo, ND-MN (Metropolitan Statistical Area)",0
116,22140,"Farmington, NM (Metropolitan Statistical Area)",0
117,22180,"Fayetteville, NC (Metropolitan Statistical Area)",0
118,22220,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",0
119,22380,"Flagstaff, AZ (Metropolitan Statistical Area)",0
120,22420,"Flint, MI (Metropolitan Statistical Area)",0
121,22500,"Florence, SC (Metropolitan Statistical Area)",0
122,22520,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",0
123,22540,"Fond du Lac, WI (Metropolitan Statistical Area)",0
124,22660,"Fort Collins, CO (Metropolitan Statistical Area)",0
125,22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",0
126,23060,"Fort Wayne, IN (Metropolitan Statistical Area)",0
127,23420,"Fresno, CA (Metropolitan Statistical Area)",0
128,23460,"Gadsden, AL (Metropolitan Statistical Area)",0
129,23540,"Gainesville, FL (Metropolitan Statistical Area)",0
130,23580,"Gainesville, GA (Metropolitan Statistical Area)",0
131,23900,"Gettysburg, PA (Metropolitan Statistical Area)",0
132,24020,"Glens Falls, NY (Metropolitan Statistical Area)",0
133,24140,"Goldsboro, NC (Metropolitan Statistical Area)",0
134,24220,"Grand Forks, ND-MN (Metropolitan Statistical Area)",0
135,24260,"Grand Island, NE (Metropolitan Statistical Area)",0
136,24300,"Grand Junction, CO (Metropolitan Statistical Area)",0
137,24340,"Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",0
138,24420,"Grants Pass, OR (Metropolitan Statistical Area)",0
139,24500,"Great Falls, MT (Metropolitan Statistical Area)",0
140,24540,"Greeley, CO (Metropolitan Statistical Area)",0
141,24580,"Green Bay, WI (Metropolitan Statistical Area)",0
142,24660,"Greensboro-High Point, NC (Metropolitan Statistical Area)",0
143,24780,"Greenville, NC (Metropolitan Statistical Area)",0
144,24860,"Greenville-Anderson, SC (Metropolitan Statistical Area)",0
145,25060,"Gulfport-Biloxi, MS (Metropolitan Statistical Area)",0
146,25180,"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",0
147,25220,"Hammond, LA (Metropolitan Statistical Area)",0
148,25260,"Hanford-Corcoran, CA (Metropolitan Statistical Area)",0
149,25420,"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",0
150,25500,"Harrisonburg, VA (Metropolitan Statistical Area)",0
151,25540,"Hartford-East Hartford-Middletown, CT (Metropolitan Statistical Area)",3
152,25620,"Hattiesburg, MS (Metropolitan Statistical Area)",0
153,25860,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",0
154,25940,"Hilton Head Island-Bluffton, SC (Metropolitan Statistical Area)",0
155,25980,"Hinesville, GA (Metropolitan Statistical Area)",0
156,26140,"Homosassa Springs, FL (Metropolitan Statistical Area)",0
157,26300,"Hot Springs, AR (Metropolitan Statistical Area)",0
158,26380,"Houma-Thibodaux, LA (Metropolitan Statistical Area)",0
159,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",1
160,26580,"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",0
161,26620,"Huntsville, AL (Metropolitan Statistical Area)",0
162,26820,"Idaho Falls, ID (Metropolitan Statistical Area)",0
163,26900,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",3
164,26980,"Iowa City, IA (Metropolitan Statistical Area)",0
165,27060,"Ithaca, NY (Metropolitan Statistical Area)",0
166,27100,"Jackson, MI (Metropolitan Statistical Area)",0
167,27140,"Jackson, MS (Metropolitan Statistical Area)",0
168,27180,"Jackson, TN (Metropolitan Statistical Area)",0
169,27260,"Jacksonville, FL (Metropolitan Statistical Area)",3
170,27340,"Jacksonville, NC (Metropolitan Statistical Area)",0
171,27500,"Janesville-Beloit, WI (Metropolitan Statistical Area)",0
172,27620,"Jefferson City, MO (Metropolitan Statistical Area)",0
173,27740,"Johnson City, TN (Metropolitan Statistical Area)",0
174,27780,"Johnstown, PA (Metropolitan Statistical Area)",0
175,27860,"Jonesboro, AR (Metropolitan Statistical Area)",0
176,27900,"Joplin, MO (Metropolitan Statistical Area)",0
177,27980,"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",0
178,28020,"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",0
179,28100,"Kankakee, IL (Metropolitan Statistical Area)",0
180,28140,"Kansas City, MO-KS (Metropolitan Statistical Area)",3
181,28420,"Kennewick-Richland, WA (Metropolitan Statistical Area)",0
182,28660,"Killeen-Temple, TX (Metropolitan Statistical Area)",0
183,28700,"Kingsport-Bristol, TN-VA (Metropolitan Statistical Area)",0
184,28740,"Kingston, NY (Metropolitan Statistical Area)",0
185,28940,"Knoxville, TN (Metropolitan Statistical Area)",0
186,29020,"Kokomo, IN (Metropolitan Statistical Area)",0
187,29100,"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",0
188,29180,"Lafayette, LA (Metropolitan Statistical Area)",0
